case,field,type,status,computed,reference,diff
Calculate_Cn.0.0.1,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.2,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.3,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.4,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.5,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.6,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.7,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.10,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.11,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.13,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.17,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.18,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.19,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.20,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.21,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.9,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.12,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.14,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.15,cn,array,IDENTICAL,,,size=         200
Calculate_Cn.0.0.8,cn,array,IDENTICAL,,,size=         200
